"No.","Time","Source","Destination","Protocol","Length","Info"
"118","57.201732666","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2281 Ack=1 Win=64256 Len=40 TSval=3857247909 TSecr=2015064652"
"119","57.201868708","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2321 Win=65152 Len=0 TSval=2015065653 TSecr=3857247909"
"120","58.205588856","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2321 Ack=1 Win=64256 Len=40 TSval=3857248912 TSecr=2015065653"
"121","58.205689689","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2361 Win=65152 Len=0 TSval=2015066657 TSecr=3857248912"
"122","59.207413786","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2361 Ack=1 Win=64256 Len=40 TSval=3857249914 TSecr=2015066657"
"123","59.207535245","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2401 Win=65152 Len=0 TSval=2015067659 TSecr=3857249914"
"124","60.209418136","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2401 Ack=1 Win=64256 Len=40 TSval=3857250916 TSecr=2015067659"
"125","60.209548178","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2441 Win=65152 Len=0 TSval=2015068661 TSecr=3857250916"
"126","61.213566164","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2441 Ack=1 Win=64256 Len=40 TSval=3857251920 TSecr=2015068661"
"127","61.213645456","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2481 Win=65152 Len=0 TSval=2015069665 TSecr=3857251920"
"128","62.217209149","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2481 Ack=1 Win=64256 Len=40 TSval=3857252924 TSecr=2015069665"
"129","62.217325275","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2521 Win=65152 Len=0 TSval=2015070669 TSecr=3857252924"
"130","63.219323794","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2521 Ack=1 Win=64256 Len=40 TSval=3857253926 TSecr=2015070669"
"131","63.219465670","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2561 Win=65152 Len=0 TSval=2015071671 TSecr=3857253926"
"132","64.223465617","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2561 Ack=1 Win=64256 Len=40 TSval=3857254930 TSecr=2015071671"
"133","64.223587951","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2601 Win=65152 Len=0 TSval=2015072675 TSecr=3857254930"
"134","65.225624389","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2601 Ack=1 Win=64256 Len=40 TSval=3857255932 TSecr=2015072675"
"135","65.225752473","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=2641 Win=65152 Len=0 TSval=2015073677 TSecr=3857255932"
"136","66.228155914","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=2641 Ack=1 Win=64256 Len=40 TSval=3857256934 TSecr=2015073677"
